From;To;Time;Distance;
lddleh;ldngar;13;4.493;
lddora;ldngar;17;5.365;
ldnrod;ldngar;6;2.603;
ldnsta;ldngar;4;1.399;
ldnvin;ldngar;10;4.51;
ldnbro;ldngar;8;4;Afschatting
lddleh;ldnvin;16;7.6;Afschatting: https://maps.app.goo.gl/dPh5Mh2ikfZ7vxq1A
lddora;ldnvin;18;9;Afschatting: https://maps.app.goo.gl/d8ipXFBHgJEvNFdC9
ldnrod;ldnvin;11;5;Afschatting: https://maps.app.goo.gl/GHREYMAqpRZQFtF99
ldnbro;ldnvin;15;7.4;Afschatting: https://maps.app.goo.gl/EUTVv3nnbSpjNFzn6
ldnsta;ldnvin;10;4;Afschatting: 
